ENLIGHTEN Version,4.1.6
Measurement ID,,,20250528-100245-792093-WP-02208,20250528-100407-709362-WP-02208,20250528-100442-099370-WP-02208
363,893.90,1552.21,1486.00,2636.00,2536.00
364,894.18,1555.62,1467.00,2646.00,2557.00
365,894.45,1559.02,1473.00,2650.00,2547.00
366,894.72,1562.43,1465.00,2627.00,2528.00
367,894.99,1565.82,1465.00,2616.00,2519.00
368,895.26,1569.22,1456.00,2612.00,2523.00
369,895.54,1572.62,1463.00,2610.00,2530.00
370,895.81,1576.01,1446.00,2595.00,2517.00
371,896.08,1579.40,1458.00,2583.00,2507.00
372,896.35,1582.78,1442.00,2585.00,2502.00
373,896.62,1586.17,1437.00,2606.00,2530.00
374,896.90,1589.55,1471.00,2579.00,2492.00
375,897.17,1592.93,1458.00,2600.00,2521.00
376,897.44,1596.31,1461.00,2623.00,2532.00
377,897.71,1599.68,1465.00,2619.00,2526.00
378,897.98,1603.05,1452.00,2617.00,2526.00
379,898.26,1606.43,1454.00,2623.00,2551.00
380,898.53,1609.79,1467.00,2631.00,2530.00
381,898.80,1613.16,1473.00,2640.00,2532.00
382,899.07,1616.52,1452.00,2600.00,2532.00
383,899.34,1619.88,1484.00,2633.00,2543.00
384,899.61,1623.24,1456.00,2593.00,2523.00
385,899.89,1626.60,1448.00,2627.00,2526.00
386,900.16,1629.95,1467.00,2595.00,2500.00
387,900.43,1633.30,1437.00,2591.00,2519.00
388,900.70,1636.65,1450.00,2593.00,2469.00
389,900.97,1639.99,1440.00,2568.00,2467.00
390,901.24,1643.34,1446.00,2564.00,2475.00
391,901.52,1646.68,1446.00,2562.00,2492.00
392,901.79,1650.02,1454.00,2591.00,2507.00
393,902.06,1653.36,1450.00,2566.00,2523.00
394,902.33,1656.69,1439.00,2593.00,2509.00
395,902.60,1660.02,1442.00,2606.00,2511.00
396,902.87,1663.35,1463.00,2597.00,2494.00
397,903.14,1666.68,1465.00,2597.00,2521.00
398,903.41,1670.00,1456.00,2614.00,2515.00
399,903.69,1673.32,1461.00,2610.00,2505.00
400,903.96,1676.64,1465.00,2602.00,2504.00
401,904.23,1679.96,1469.00,2619.00,2517.00
402,904.50,1683.28,1456.00,2602.00,2524.00
403,904.77,1686.59,1456.00,2612.00,2528.00
404,905.04,1689.90,1454.00,2608.00,2511.00
405,905.31,1693.21,1444.00,2585.00,2511.00
406,905.58,1696.51,1446.00,2576.00,2504.00
407,905.85,1699.81,1440.00,2560.00,2511.00
408,906.13,1703.11,1450.00,2593.00,2488.00
409,906.40,1706.41,1431.00,2547.00,2471.00
410,906.67,1709.71,1440.00,2555.00,2488.00
411,906.94,1713.00,1431.00,2551.00,2450.00
412,907.21,1716.29,1427.00,2551.00,2471.00
413,907.48,1719.58,1442.00,2562.00,2464.00
414,907.75,1722.87,1440.00,2572.00,2475.00
415,908.02,1726.15,1435.00,2583.00,2483.00
416,908.29,1729.43,1431.00,2581.00,2507.00
417,908.56,1732.71,1450.00,2570.00,2500.00
418,908.83,1735.99,1439.00,2579.00,2498.00
419,909.10,1739.26,1446.00,2591.00,2505.00
420,909.37,1742.53,1456.00,2600.00,2496.00
421,909.64,1745.80,1448.00,2602.00,2509.00
422,909.91,1749.07,1458.00,2579.00,2509.00
423,910.18,1752.33,1433.00,2576.00,2496.00
424,910.46,1755.59,1454.00,2583.00,2469.00
425,910.73,1758.85,1439.00,2549.00,2471.00
426,911.00,1762.11,1433.00,2562.00,2466.00
427,911.27,1765.37,1423.00,2542.00,2466.00
428,911.54,1768.62,1435.00,2547.00,2447.00
429,911.81,1771.87,1435.00,2513.00,2467.00
430,912.08,1775.12,1429.00,2540.00,2456.00
431,912.35,1778.36,1429.00,2523.00,2458.00
432,912.62,1781.60,1435.00,2519.00,2448.00
433,912.89,1784.84,1446.00,2559.00,2441.00
434,913.16,1788.08,1440.00,2536.00,2464.00
435,913.43,1791.32,1439.00,2585.00,2445.00
436,913.70,1794.55,1444.00,2540.00,2462.00
437,913.97,1797.78,1431.00,2555.00,2471.00
438,914.24,1801.01,1442.00,2559.00,2496.00
439,914.50,1804.23,1435.00,2562.00,2481.00
440,914.77,1807.46,1427.00,2543.00,2467.00
441,915.04,1810.68,1435.00,2534.00,2456.00
442,915.31,1813.90,1435.00,2555.00,2458.00
443,915.58,1817.11,1439.00,2560.00,2460.00
444,915.85,1820.33,1440.00,2553.00,2454.00
445,916.12,1823.54,1427.00,2540.00,2445.00
446,916.39,1826.75,1418.00,2521.00,2443.00
447,916.66,1829.95,1431.00,2528.00,2462.00
448,916.93,1833.16,1408.00,2483.00,2418.00
449,917.20,1836.36,1412.00,2509.00,2411.00
450,917.47,1839.56,1420.00,2504.00,2407.00
451,917.74,1842.76,1416.00,2511.00,2409.00
452,918.01,1845.95,1429.00,2507.00,2411.00
453,918.28,1849.14,1421.00,2502.00,2422.00
454,918.55,1852.33,1414.00,2509.00,2433.00
455,918.81,1855.52,1412.00,2504.00,2424.00
456,919.08,1858.71,1414.00,2524.00,2426.00
457,919.35,1861.89,1421.00,2534.00,2431.00
458,919.62,1865.07,1431.00,2519.00,2439.00
459,919.89,1868.25,1423.00,2511.00,2433.00
460,920.16,1871.42,1448.00,2515.00,2433.00
461,920.43,1874.59,1423.00,2511.00,2454.00
462,920.70,1877.77,1433.00,2543.00,2443.00
463,920.96,1880.93,1423.00,2498.00,2431.00
464,921.23,1884.10,1427.00,2498.00,2431.00
465,921.50,1887.26,1416.00,2481.00,2424.00
466,921.77,1890.42,1420.00,2483.00,2431.00
467,922.04,1893.58,1412.00,2494.00,2388.00
468,922.31,1896.74,1389.00,2458.00,2386.00
469,922.58,1899.89,1412.00,2454.00,2371.00
470,922.84,1903.04,1393.00,2452.00,2382.00
471,923.11,1906.19,1393.00,2454.00,2384.00
472,923.38,1909.34,1393.00,2435.00,2390.00
473,923.65,1912.48,1395.00,2467.00,2384.00
474,923.92,1915.62,1389.00,2437.00,2395.00
475,924.18,1918.76,1412.00,2460.00,2393.00
476,924.45,1921.90,1397.00,2479.00,2390.00
477,924.72,1925.04,1414.00,2467.00,2386.00
