ENLIGHTEN Version,4.1.6
Measurement ID,,,20250529-091533-473472-WP-02208,20250529-091709-177739-WP-02208
238,859.74,1107.75,1209.00,1375.00
239,860.02,1111.45,1216.00,1403.00
240,860.29,1115.15,1221.00,1396.00
241,860.56,1118.84,1171.00,1390.00
242,860.84,1122.54,1232.00,1380.00
243,861.11,1126.23,1229.00,1381.00
244,861.39,1129.92,1211.00,1373.00
245,861.66,1133.61,1227.00,1401.00
246,861.93,1137.29,1183.00,1386.00
247,862.21,1140.97,1196.00,1367.00
248,862.48,1144.65,1198.00,1400.00
249,862.75,1148.33,1213.00,1388.00
250,863.03,1152.01,1198.00,1386.00
251,863.30,1155.68,1232.00,1401.00
252,863.58,1159.35,1217.00,1400.00
253,863.85,1163.02,1224.00,1393.00
254,864.12,1166.69,1234.00,1407.00
255,864.40,1170.35,1229.00,1424.00
256,864.67,1174.01,1242.00,1422.00
257,864.94,1177.67,1224.00,1397.00
258,865.22,1181.33,1240.00,1413.00
259,865.49,1184.98,1232.00,1427.00
260,865.76,1188.64,1252.00,1432.00
261,866.04,1192.29,1246.00,1449.00
262,866.31,1195.93,1232.00,1432.00
263,866.59,1199.58,1245.00,1414.00
264,866.86,1203.22,1228.00,1397.00
265,867.13,1206.86,1244.00,1394.00
266,867.41,1210.50,1217.00,1395.00
267,867.68,1214.14,1249.00,1405.00
268,867.95,1217.77,1236.00,1424.00
269,868.23,1221.40,1217.00,1424.00
270,868.50,1225.03,1260.00,1429.00
271,868.77,1228.66,1251.00,1424.00
272,869.05,1232.28,1234.00,1439.00
273,869.32,1235.91,1249.00,1413.00
274,869.60,1239.53,1267.00,1441.00
275,869.87,1243.14,1228.00,1449.00
276,870.14,1246.76,1264.00,1427.00
277,870.42,1250.37,1263.00,1449.00
278,870.69,1253.98,1232.00,1424.00
279,870.96,1257.59,1263.00,1430.00
280,871.24,1261.20,1250.00,1421.00
281,871.51,1264.80,1226.00,1401.00
282,871.78,1268.40,1230.00,1441.00
283,872.06,1272.00,1249.00,1414.00
284,872.33,1275.60,1219.00,1409.00
285,872.61,1279.19,1221.00,1424.00
286,872.88,1282.78,1215.00,1418.00
287,873.15,1286.37,1238.00,1426.00
288,873.43,1289.96,1246.00,1435.00
289,873.70,1293.54,1248.00,1443.00
290,873.97,1297.12,1268.00,1437.00
291,874.25,1300.70,1255.00,1433.00
292,874.52,1304.28,1258.00,1452.00
293,874.79,1307.86,1226.00,1435.00
294,875.07,1311.43,1259.00,1431.00
295,875.34,1315.00,1247.00,1427.00
296,875.61,1318.57,1246.00,1415.00
297,875.89,1322.13,1221.00,1401.00
298,876.16,1325.70,1212.00,1405.00
299,876.43,1329.26,1228.00,1409.00
300,876.71,1332.82,1221.00,1424.00
301,876.98,1336.37,1240.00,1420.00
302,877.26,1339.93,1211.00,1392.00
